course,courselink,type,provider,certlink
Practical Ethical Hacking - The Complete Course,https://academy.tcm-sec.com/p/practical-ethical-hacking-the-complete-course,Offensive,TCM Security,https://abdulrazzakswai.me/assets/courses-certificates/TCM-Security_PEH.webp
Penetration Testing Process,https://academy.hackthebox.com/course/preview/penetration-testing-process,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/c180b533-b9cf-11ef-864f-bea50ffe6cb4
Network Enumeration with Nmap,https://academy.hackthebox.com/course/preview/network-enumeration-with-nmap,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/b16c2601-bb1d-11ef-864f-bea50ffe6cb4
Information Gathering - Web Edition,https://academy.hackthebox.com/course/preview/information-gathering---web-edition,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/6800d5b8-cf07-11ef-864f-bea50ffe6cb4
Vulnerability Assessment,https://academy.hackthebox.com/course/preview/vulnerability-assessment,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/16b4be41-9adf-11ef-864f-bea50ffe6cb4
Using the Metasploit Framework,https://academy.hackthebox.com/course/preview/using-the-metasploit-framework,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/0ca2fac0-a49a-11ef-864f-bea50ffe6cb4
Cross-Site Scripting (XSS),https://academy.hackthebox.com/course/preview/cross-site-scripting-xss,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/d407857e-c9a7-11ef-864f-bea50ffe6cb4
Command Injections,https://academy.hackthebox.com/course/preview/command-injections,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/ef193314-cd8c-11ef-864f-bea50ffe6cb4
File Upload Attacks,https://academy.hackthebox.com/course/preview/file-upload-attacks,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/d6d64ad5-cdd3-11ef-864f-bea50ffe6cb4
Broken Authentication,https://academy.hackthebox.com/course/preview/broken-authentication,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/9a35cdc9-d59b-11ef-864f-bea50ffe6cb4
File Inclusion,https://academy.hackthebox.com/course/preview/file-inclusion,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/9739b488-a885-11ef-864f-bea50ffe6cb4
SQL Injection Fundamentals,https://academy.hackthebox.com/course/preview/sql-injection-fundamentals,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/fcf45679-a444-11ef-864f-bea50ffe6cb4
Login Brute Forcing,https://academy.hackthebox.com/course/preview/login-brute-forcing,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/4546564b-cb15-11ef-864f-bea50ffe6cb4
Using Web Proxies,https://academy.hackthebox.com/course/preview/using-web-proxies,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/026c23fd-c301-11ef-864f-bea50ffe6cb4
Attacking Web Applications with Ffuf,https://academy.hackthebox.com/course/preview/attacking-web-applications-with-ffuf,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/bfe8b64a-a304-11ef-864f-bea50ffe6cb4
Web Fuzzing,https://academy.hackthebox.com/course/preview/web-fuzzing,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/4c57ed74-a9c9-11ef-864f-bea50ffe6cb4
Server-side Attacks,https://academy.hackthebox.com/course/preview/server-side-attacks,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/481ee175-d4f9-11ef-864f-bea50ffe6cb4
Bug Bounty Hunting Process,https://academy.hackthebox.com/course/preview/bug-bounty-hunting-process,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/c9390854-d753-11ef-864f-bea50ffe6cb4
File Transfers,https://academy.hackthebox.com/course/preview/file-transfers,Offensive,Hack The Box,https://academy.hackthebox.com/achievement/badge/95df6e38-9dfe-11ef-864f-bea50ffe6cb4
Practical Help Desk,https://academy.tcm-sec.com/p/practical-help-desk,General,TCM Security,https://abdulrazzakswai.me/assets/courses-certificates/TCM-Security_Help-Desk.webp
Soft Skills for the Job Market,https://academy.tcm-sec.com/p/soft-skills-for-the-job-market,General,TCM Security,https://abdulrazzakswai.me/assets/courses-certificates/TCM-Security_Soft-Skills.webp
Introduction to Active Directory,https://academy.hackthebox.com/course/preview/introduction-to-active-directory,General,Hack The Box,https://academy.hackthebox.com/achievement/badge/c637ffcc-af44-11ef-864f-bea50ffe6cb4
Programming 100: Fundamentals,https://academy.tcm-sec.com/p/programming-100-fundamentals,General,TCM Security,https://abdulrazzakswai.me/assets/courses-certificates/TCM-Security_Programming-100.webp
Introduction to Web Applications,https://academy.hackthebox.com/course/preview/introduction-to-web-applications,General,Hack The Box,https://academy.hackthebox.com/achievement/badge/9bbcd345-a62a-11ef-864f-bea50ffe6cb4
Web Requests,https://academy.hackthebox.com/course/preview/web-requests,General,Hack The Box,https://academy.hackthebox.com/achievement/badge/3429ead2-a55d-11ef-864f-bea50ffe6cb4
Learning Process,https://academy.hackthebox.com/course/preview/learning-process,General,Hack The Box,https://academy.hackthebox.com/achievement/badge/d25769ee-1127-11f0-864f-bea50ffe6cb4
Getting Started,https://academy.hackthebox.com/course/preview/getting-started,General,Hack The Box,https://academy.hackthebox.com/achievement/badge/dcfbff40-995b-11ef-864f-bea50ffe6cb4
Intro to Academy,https://academy.hackthebox.com/course/preview/intro-to-academy,General,Hack The Box,https://academy.hackthebox.com/achievement/badge/9a8a77d9-91c1-11ef-864f-bea50ffe6cb4
